px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.70706	-7.23478	-2.77871	-2.61322	-0.554421	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.536278
6.78702	-7.09617	-2.75583	-2.54394	-0.392832	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	12.5417
6.9058	-7.00053	-2.75664	-2.55744	-0.385109	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.246768
7.03855	-6.92341	-2.75943	-2.58705	-0.398436	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.108366
7.16573	-6.82839	-2.76626	-2.59966	-0.388821	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.325173
7.2624	-6.70728	-2.75166	-2.54943	-0.27009	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	6.77589
7.38315	-6.61218	-2.75383	-2.55671	-0.262709	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.186778
7.53077	-6.57616	-2.76738	-2.63615	-0.373344	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	6.00378
7.65245	-6.50212	-2.77164	-2.65056	-0.36894	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.078747
7.77407	-6.41616	-2.76585	-2.64842	-0.334032	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.726277
7.9012	-6.34736	-2.75929	-2.66593	-0.33382	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.13045
8.02756	-6.26863	-2.75443	-2.6661	-0.303479	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.499469
8.15875	-6.18992	-2.75653	-2.67602	-0.296794	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.130701
8.25136	-6.08678	-2.74188	-2.62627	-0.191919	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	5.73515
8.36576	-6.00569	-2.74457	-2.6268	-0.182999	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.236831
8.5147	-5.95403	-2.75367	-2.6747	-0.246344	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	2.22833
8.65107	-5.88232	-2.75647	-2.68592	-0.243916	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0234119
8.75609	-5.77251	-2.74059	-2.6309	-0.132418	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	6.73609
8.88284	-5.6878	-2.74211	-2.63044	-0.124796	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.155395
8.9813	-5.58987	-2.73255	-2.58724	-0.0435067	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	3.53412
9.09097	-5.50497	-2.73351	-2.58043	-0.0347739	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.228977
9.23219	-5.44631	-2.74035	-2.62257	-0.104732	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.58109
9.35986	-5.36266	-2.74226	-2.62226	-0.0988114	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.0904258
9.45653	-5.24443	-2.72704	-2.55919	0.0111991	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	6.41126
9.57745	-5.15558	-2.727	-2.55387	0.015775	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.0625032
9.68139	-5.0471	-2.71817	-2.50769	0.0915526	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	3.28822
9.79525	-4.95239	-2.71672	-2.49757	0.0964954	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.0948405
9.89263	-4.83504	-2.70985	-2.44657	0.171095	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	2.78569
9.99996	-4.73918	-2.70507	-2.43516	0.173133	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.0979562
10.084	-4.60875	-2.69886	-2.37327	0.255542	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	3.10709
10.1824	-4.4936	-2.6999	-2.35076	0.263631	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.18417
10.2683	-4.36623	-2.69841	-2.3053	0.310835	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	1.03965
10.3645	-4.23753	-2.70702	-2.27857	0.319453	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.302874
10.4857	-4.14539	-2.71179	-2.30155	0.255002	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.8891
10.5764	-4.01615	-2.71716	-2.27614	0.265357	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.344316
10.6745	-3.90134	-2.719	-2.26344	0.261872	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.0394914
10.7671	-3.77897	-2.72209	-2.2452	0.265257	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.0478325
10.8188	-3.62862	-2.71738	-2.16483	0.371256	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	5.02454
10.8929	-3.49529	-2.71847	-2.13715	0.378035	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0.149805
